trial,line,points,time,x position,y position,z position,
0,1,0,4.84,0.1603452,0.6697622,0.3076356,
0,1,1,4.86,0.1603452,0.6697622,0.3076356,
0,1,2,4.88,0.1603452,0.6697622,0.3076356,
0,1,3,4.9,0.2131882,0.7229158,0.3092598,
0,1,4,4.92,0.2451382,0.7470175,0.3011609,
0,1,5,4.94,0.2451382,0.7470175,0.3011609,
0,1,6,4.96,0.2777232,0.7628826,0.2886962,
0,1,7,4.98,0.307561,0.7701521,0.2781485,
0,1,8,5,0.3325072,0.7690826,0.2706949,
0,1,9,5.02,0.3325072,0.7690826,0.2706949,
0,1,10,5.04,0.3473602,0.7603801,0.2666359,
0,1,11,5.06,0.3495787,0.7491747,0.2659871,
0,1,12,5.08,0.3495787,0.7491747,0.2659871,
0,1,13,5.1,0.3407529,0.7354596,0.2670161,
0,1,14,5.12,0.3259091,0.7185451,0.268378,
0,1,15,5.14,0.3080472,0.7022897,0.2697724,
0,1,16,5.16,0.3080472,0.7022897,0.2697724,
0,1,17,5.18,0.2881559,0.6857884,0.2702374,
0,1,18,5.2,0.266731,0.6635202,0.270626,
0,1,19,5.22,0.2404507,0.6380638,0.2694739,
0,1,20,5.24,0.2404507,0.6380638,0.2694739,
0,1,21,5.26,0.2104546,0.6113141,0.2656143,
0,1,22,5.28,0.1807132,0.5885085,0.2535723,
0,1,23,5.3,0.1807132,0.5885085,0.2535723,
0,1,24,5.32,0.1710791,0.581126,0.246591,
0,1,25,5.34,0.1704635,0.5878748,0.2430227,
0,1,26,5.36,0.1798681,0.6066197,0.2430879,
0,1,27,5.38,0.1798681,0.6066197,0.2430879,
0,1,28,5.4,0.1978464,0.6317023,0.2432371,
0,1,29,5.42,0.2168698,0.6518418,0.2413708,
0,1,30,5.44,0.2168698,0.6518418,0.2413708,
0,1,31,5.46,0.2379881,0.6624849,0.2394557,
0,1,32,5.48,0.2567075,0.6619582,0.2393018,
0,1,33,5.5,0.2656512,0.6476325,0.2437646,
0,1,34,5.52,0.2656512,0.6476325,0.2437646,
0,1,35,5.54,0.260339,0.6224632,0.2486789,
0,1,36,5.56,0.2570734,0.6149389,0.2408431,
0,1,37,5.58,0.2570734,0.6149389,0.2408431,
0,1,38,5.6,0.2682918,0.6291529,0.2284525,
0,1,39,5.62,0.2766784,0.6455386,0.2168365,
0,1,40,5.64,0.276314,0.6757215,0.1946222,
0,1,41,5.66,0.276314,0.6757215,0.1946222,
0,1,42,5.68,0.2754039,0.7026375,0.1725664,
0,1,43,5.7,0.2700442,0.7219524,0.1556754,
0,1,44,5.72,0.2634375,0.7404432,0.1352159,
0,1,45,5.74,0.2634375,0.7404432,0.1352159,
0,1,46,5.76,0.258348,0.7509959,0.1232846,
0,1,47,5.78,0.2498965,0.7572579,0.1182415,
0,1,48,5.8,0.2498965,0.7572579,0.1182415,
0,1,49,5.82,0.2410164,0.7604375,0.1166511,
0,1,50,5.84,0.2359668,0.7610735,0.1208887,
0,1,51,5.86,0.2390192,0.7583047,0.137302,
0,1,52,5.88,0.2390192,0.7583047,0.137302,
0,1,53,5.9,0.2434823,0.752668,0.1608259,
0,1,54,5.92,0.2447921,0.7429938,0.185755,
0,1,55,5.94,0.2447921,0.7429938,0.185755,
0,1,56,5.96,0.2427311,0.7304326,0.2123241,
0,1,57,5.98,0.2399042,0.7142385,0.2406026,
0,1,58,6,0.2393051,0.69901,0.2613625,
0,1,59,6.02,0.2393051,0.69901,0.2613625,
0,1,60,6.04,0.2373536,0.6827859,0.2779579,
0,1,61,6.06,0.2374741,0.661717,0.2977672,
0,1,62,6.08,0.2374741,0.661717,0.2977672,
0,1,63,6.1,0.2379641,0.6438356,0.3091598,
0,1,64,6.12,0.2399259,0.6345549,0.3126977,
0,1,65,6.14,0.2456383,0.6187685,0.3203493,
0,1,66,6.16,0.2456383,0.6187685,0.3203493,
0,1,67,6.18,0.2518663,0.6008079,0.3272873,
0,1,68,6.2,0.2571333,0.588747,0.328613,
0,1,69,6.22,0.2571333,0.588747,0.328613,
0,1,70,6.24,0.2649243,0.5806166,0.3273148,
0,1,71,6.26,0.2752115,0.5722092,0.3248432,
0,1,72,6.28,0.2838427,0.5669557,0.3207467,
0,1,73,6.3,0.2838427,0.5669557,0.3207467,
0,1,74,6.32,0.2934253,0.5629277,0.3150366,
0,1,75,6.34,0.3032665,0.5650372,0.3054815,
0,1,76,6.36,0.31188,0.5680263,0.294075,
0,1,77,6.38,0.31188,0.5680263,0.294075,
0,1,78,6.4,0.3171262,0.5701899,0.2821374,
0,1,79,6.42,0.3258958,0.5766572,0.2687309,
0,1,80,6.44,0.3258958,0.5766572,0.2687309,
0,1,81,6.46,0.332354,0.5814899,0.2561489,
0,1,82,6.48,0.3290544,0.5871192,0.242219,
0,1,83,6.5,0.3161801,0.5925418,0.2298196,
0,1,84,6.52,0.3161801,0.5925418,0.2298196,
0,1,85,6.54,0.2974264,0.5934262,0.2213525,
0,1,86,6.56,0.2727056,0.5941595,0.212301,
0,1,87,6.58,0.2727056,0.5941595,0.212301,
0,1,88,6.6,0.2518321,0.5978996,0.2007873,
0,1,89,6.62,0.2354314,0.6013066,0.1919577,
0,1,90,6.64,0.2187,0.6050896,0.1838756,
0,1,91,6.66,0.2187,0.6050896,0.1838756,
0,1,92,6.68,0.2052873,0.6088066,0.1779599,
0,1,93,6.7,0.1927757,0.6112561,0.1747611,
0,1,94,6.72,0.1796777,0.6138096,0.1717969,
0,1,95,6.74,0.1796777,0.6138096,0.1717969,
0,1,96,6.76,0.1677135,0.6213319,0.1668679,
0,1,97,6.78,0.1577103,0.631485,0.1613586,
0,1,98,6.8,0.1577103,0.631485,0.1613586,
0,1,99,6.82,0.1490381,0.6420383,0.1572456,
0,1,100,6.84,0.1401162,0.654577,0.1512651,
0,1,101,6.86,0.132098,0.6688799,0.1435686,
0,1,102,6.88,0.132098,0.6688799,0.1435686,
0,1,103,6.9,0.1250071,0.6835865,0.1356452,
0,1,104,6.92,0.1201887,0.7003618,0.1261742,
0,1,105,6.94,0.1201887,0.7003618,0.1261742,
0,1,106,6.96,0.1185543,0.7205236,0.112135,
0,1,107,6.98,0.1200643,0.7405789,0.09657411,
0,1,108,7,0.1233376,0.7562171,0.08623923,
0,1,109,7.02,0.1233376,0.7562171,0.08623923,
0,1,110,7.04,0.1292316,0.7623759,0.08373056,
0,1,111,7.06,0.1360615,0.7772105,0.07287054,
0,1,112,7.08,0.1418726,0.7834539,0.06726993,
0,1,113,7.1,0.1523082,0.7907248,0.06423084,
0,1,114,7.12,0.1573567,0.7928883,0.06557643,
0,1,115,7.14,0.1682081,0.7947734,0.07321003,
0,1,116,7.16,0.1727806,0.7941741,0.07902966,
0,1,117,7.18,0.1779303,0.7900819,0.0954216,
0,1,118,7.2,0.1784056,0.7866082,0.1071304,
0,1,119,7.22,0.1765605,0.7814718,0.1233932,
0,1,120,7.24,0.1715674,0.7677893,0.1601823,
0,1,121,7.26,0.1699776,0.7583752,0.1797006,
0,1,122,7.28,0.1647067,0.7316628,0.2243076,
0,1,123,7.3,0.1597094,0.7127947,0.2478017,
0,1,124,7.32,0.1500855,0.6684078,0.2853028,
0,1,125,7.34,0.1479906,0.6497846,0.2945559,
0,1,126,7.36,0.1480393,0.6350679,0.3012459,
0,1,127,7.38,0.1518848,0.6067009,0.3098554,
0,1,128,7.4,0.1541195,0.5923949,0.3146254,
0,1,129,7.42,0.1606135,0.575762,0.3153109,
0,1,130,7.44,0.1642003,0.571034,0.3146822,
0,1,131,7.46,0.1740138,0.5675159,0.3108683,
0,1,132,7.48,0.1800078,0.566187,0.3095886,
0,1,133,7.5,0.1964691,0.5684648,0.3073795,
0,1,134,7.52,0.2060894,0.5700151,0.3066404,
0,1,135,7.54,0.216125,0.5711497,0.3057528,
0,1,136,7.56,0.2360423,0.5726761,0.3023227,
0,1,137,7.58,0.2450131,0.57315,0.3002417,
0,1,138,7.6,0.26179,0.5738962,0.2953633,
0,1,139,7.62,0.2697269,0.5740868,0.2925022,
0,1,140,7.64,0.2838155,0.5758413,0.2855632,
0,1,141,7.66,0.2897359,0.5772247,0.2817545,
